split_name,split_value,metric,n,delta_mean,delta_ci_low,delta_ci_high,status
all,ALL,relaxed_within_96,155,0.0,0.0,0.0,includes_zero
all,ALL,auc_excess_rv,155,0.2412939110619169,0.20658206197863271,0.2769733819545786,positive
all,ALL,rv_decay_half_life,155,10.061935483870966,9.385774193548388,10.766548387096774,positive
all,ALL,secondary_shock_within_h,155,0.7819354838709678,0.7135483870967742,0.8413548387096774,positive
all,ALL,range_pct_96,155,0.049339273888210106,0.0404885252350694,0.059829928121477034,positive
symbol,BTCUSDT,relaxed_within_96,78,0.0,0.0,0.0,includes_zero
symbol,BTCUSDT,auc_excess_rv,78,0.22816447590823613,0.19084952990355394,0.26771280808435516,positive
symbol,BTCUSDT,rv_decay_half_life,78,10.430769230769231,9.437884615384615,11.47705128205128,positive
symbol,BTCUSDT,secondary_shock_within_h,78,0.782051282051282,0.6923076923076923,0.8667307692307691,positive
symbol,BTCUSDT,range_pct_96,78,0.04680730493465145,0.0357880262946772,0.058129056678178456,positive
symbol,ETHUSDT,relaxed_within_96,77,0.0,0.0,0.0,includes_zero
symbol,ETHUSDT,auc_excess_rv,77,0.25459385836045056,0.19705251801719062,0.317555340174889,positive
symbol,ETHUSDT,rv_decay_half_life,77,9.688311688311689,8.59448051948052,10.641688311688313,positive
symbol,ETHUSDT,secondary_shock_within_h,77,0.7818181818181819,0.6831168831168831,0.8701948051948051,positive
symbol,ETHUSDT,range_pct_96,77,0.051904125555451354,0.037577450658289976,0.0673080730548336,positive
bull_bear,bear,relaxed_within_96,97,0.0,0.0,0.0,includes_zero
bull_bear,bear,auc_excess_rv,97,0.255355442619345,0.20945831095466924,0.30482049238183134,positive
bull_bear,bear,rv_decay_half_life,97,9.855670103092784,8.921340206185567,10.815309278350515,positive
bull_bear,bear,secondary_shock_within_h,97,0.777319587628866,0.6927319587628866,0.8618556701030927,positive
bull_bear,bear,range_pct_96,97,0.05152268707719363,0.03918951431563875,0.06482681849022112,positive
bull_bear,bull,relaxed_within_96,58,0.0,0.0,0.0,includes_zero
bull_bear,bull,auc_excess_rv,58,0.21777721173311465,0.1675302168899407,0.27735559331676546,positive
bull_bear,bull,rv_decay_half_life,58,10.406896551724136,9.254999999999999,11.572586206896553,positive
bull_bear,bull,secondary_shock_within_h,58,0.789655172413793,0.6792241379310343,0.889655172413793,positive
bull_bear,bull,range_pct_96,58,0.045687703554910065,0.03122373494901019,0.06184646395123227,positive
vol_regime,high,relaxed_within_96,43,0.0,0.0,0.0,includes_zero
vol_regime,high,auc_excess_rv,43,0.3725331337055486,0.2979151305041413,0.4592548770537243,positive
vol_regime,high,rv_decay_half_life,43,10.688372093023254,9.436976744186046,11.95406976744186,positive
vol_regime,high,secondary_shock_within_h,43,0.786046511627907,0.6651162790697674,0.9024418604651161,positive
vol_regime,high,range_pct_96,43,0.07779929689271527,0.05497726131799395,0.10178791349387746,positive
vol_regime,low,relaxed_within_96,112,0.0,0.0,0.0,includes_zero
vol_regime,low,auc_excess_rv,112,0.19090742379695116,0.16016518274046804,0.22687475606155283,positive
vol_regime,low,rv_decay_half_life,112,9.821428571428571,8.89799107142857,10.700133928571429,positive
vol_regime,low,secondary_shock_within_h,112,0.7803571428571429,0.7071428571428571,0.8553571428571429,positive
vol_regime,low,range_pct_96,112,0.03841265791326617,0.02949881675383244,0.048162537695622294,positive
