split_name,split_value,metric,n,delta_mean,delta_ci_low,delta_ci_high,status
all,ALL,relaxed_within_96,147,0.0,0.0,0.0,includes_zero
all,ALL,auc_excess_rv,147,0.1766270046460394,0.15262206938103834,0.2044097819582334,positive
all,ALL,rv_decay_half_life,147,9.906122448979591,9.141360544217688,10.744727891156462,positive
all,ALL,secondary_shock_within_h,147,0.8258503401360544,0.7727551020408163,0.8816326530612246,positive
all,ALL,range_pct_96,147,0.03631918832228817,0.028372802321604784,0.04444343905147267,positive
symbol,BTCUSDT,relaxed_within_96,147,0.0,0.0,0.0,includes_zero
symbol,BTCUSDT,auc_excess_rv,147,0.1766270046460394,0.15262206938103834,0.2044097819582334,positive
symbol,BTCUSDT,rv_decay_half_life,147,9.906122448979591,9.141360544217688,10.744727891156462,positive
symbol,BTCUSDT,secondary_shock_within_h,147,0.8258503401360544,0.7727551020408163,0.8816326530612246,positive
symbol,BTCUSDT,range_pct_96,147,0.03631918832228817,0.028372802321604784,0.04444343905147267,positive
bull_bear,bear,relaxed_within_96,75,0.0,0.0,0.0,includes_zero
bull_bear,bear,auc_excess_rv,75,0.20167099109954256,0.16512896065442176,0.24051938193052202,positive
bull_bear,bear,rv_decay_half_life,75,9.677333333333333,8.503533333333335,10.737266666666667,positive
bull_bear,bear,secondary_shock_within_h,75,0.896,0.8373333333333333,0.9493333333333334,positive
bull_bear,bear,range_pct_96,75,0.044588690477248866,0.03346532158745766,0.058742402246427725,positive
bull_bear,bull,relaxed_within_96,72,0.0,0.0,0.0,includes_zero
bull_bear,bull,auc_excess_rv,72,0.15053951875697363,0.1221886927767312,0.1808191824963974,positive
bull_bear,bull,rv_decay_half_life,72,10.144444444444442,8.988680555555556,11.444652777777778,positive
bull_bear,bull,secondary_shock_within_h,72,0.7527777777777778,0.661111111111111,0.8444444444444444,positive
bull_bear,bull,range_pct_96,72,0.027705123577537447,0.018466139240058705,0.03739904086683868,positive
vol_regime,high,relaxed_within_96,41,0.0,0.0,0.0,includes_zero
vol_regime,high,auc_excess_rv,41,0.28005545848787483,0.23131249770788517,0.33910894056734964,positive
vol_regime,high,rv_decay_half_life,41,10.595121951219513,9.004878048780489,12.078292682926831,positive
vol_regime,high,secondary_shock_within_h,41,0.8146341463414636,0.6926829268292682,0.9170731707317074,positive
vol_regime,high,range_pct_96,41,0.058857283171117165,0.03880991248657705,0.08002967980516958,positive
vol_regime,low,relaxed_within_96,106,0.0,0.0,0.0,includes_zero
vol_regime,low,auc_excess_rv,106,0.13662165929212194,0.11325875366242191,0.1623314964454458,positive
vol_regime,low,rv_decay_half_life,106,9.639622641509435,8.696084905660376,10.613396226415095,positive
vol_regime,low,secondary_shock_within_h,106,0.8301886792452831,0.7622641509433962,0.8886792452830188,positive
vol_regime,low,range_pct_96,106,0.02760162333359016,0.021023733020701037,0.034874039289937965,positive
